anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,textWelcome.stopped,Instructions.started,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,34.41042360011488,36.410303300013766,36.410303300013766,39.41020560008474,space,21.75307559990324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,NOMS,La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,0,0,0,15,,,,,,,,,,,61.244139400077984,61.244139400077984,61.244139400077984,0.031407699920237064, La république dominicaine est le seul pays qui possède un drapeau contenant une bible,"[0.27870370370370373, 0.2833333333333333, 0.016666666666666666]","[-0.03518518518518519, -0.03888888888888889, -0.39537037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[19.235221199924126, 19.768557699862868, 35.30155019997619]",['Validation_button'],96.52652790001594,96.52652790001594,101.52648460003547,101.52648460003547,101.52648460003547,102.04290580004454,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La navette Spatiale Columbia s’est désintégrée durant son entrée dans l’atmosphère au-dessus du Texas en février 2003 ,DONNEES,La navette Spatiale Columbia s’est désintégrée durant son entrée dans l’atmosphère au-dessus du Texas en février 2003 ,0,1,1,9,,,,,,,,,,,102.04290580004454,102.04290580004454,102.04290580004454,0.014436099911108613,La navette Spatiale Columnia s'est désintégrée durant son entrée dans l'atmosphère au-dessus du Texas en février 2003,[-0.000925925925925926],[-0.39814814814814814],[1],[0],[0],[23.634124499978498],['Validation_button'],125.67598830000497,125.67598830000497,130.67599450005218,130.67599450005218,130.67599450005218,131.17620260012336,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Le Groenland est l’île la plus grande du monde par sa superficie  ,FAITS,Le Groenland est l’île la plus grande du monde par sa superficie  ,0,2,2,0,,,,,,,,,,,131.17620260012336,131.17620260012336,131.17620260012336,0.005107099888846278,Le Groenland est l'ile la plus grande du monde par sa superficie,[-0.012962962962962963],[-0.3907407407407407],[1],[0],[0],[11.46019889996387],['Validation_button'],142.64249500003643,142.64249500003643,147.64238640014082,147.64238640014082,147.64238640014082,148.14255270012654,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Le cœur d’une crevette est dans sa tête  ,POINTS,Le cœur d’une crevette est dans sa tête  ,0,3,3,28,,,,,,,,,,,148.14255270012654,148.14255270012654,148.14255270012654,0.003856699913740158,Le coeur d'une crevette est dans sa tete,[0.000925925925925926],[-0.3907407407407407],[1],[0],[0],[7.67887909989804],['Validation_button'],155.8258040000219,155.8258040000219,160.8256938001141,160.8256938001141,160.8256938001141,161.32581469998695,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",NOMS,"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",0,4,4,30,,,,,,,,,,,161.32581469998695,161.32581469998695,161.32581469998695,0.005478000035509467,"Tout comme l'empreinte digitale, le coeur est propre a chaque individu et on peut l'identifier grace à sa signature cardiaque",[0.009259259259259259],[-0.39351851851851855],[1],[0],[0],[19.476654999889433],['Validation_button'],180.80874770018272,180.80874770018272,185.8085551999975,185.8085551999975,185.8085551999975,186.30873000016436,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Une personne brule plus de calories quand il dort que lorsqu’il regarde la télé  ,ITEMS,Une personne brule plus de calories quand il dort que lorsqu’il regarde la télé  ,0,5,5,20,,,,,,,,,,,186.30873000016436,186.30873000016436,186.30873000016436,0.0043490000534802675,Une personne brule plus de calories quand il dort que lorsq'uil regarde la télé,[-0.004629629629629629],[-0.4009259259259259],[1],[0],[0],[13.528124599950388],['Validation_button'],199.84182600001805,199.84182600001805,204.8419938001316,204.8419938001316,204.8419938001316,205.3417685001623,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,INFOS,Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,0,6,6,11,,,,,,,,,,,205.3417685001623,205.3417685001623,205.3417685001623,0.0050178999081254005,Les élastiques sont plus longs quand ils sont très froids/réfrigérés,[0.01574074074074074],[-0.40555555555555556],[1],[0],[0],[16.126663099974394],['Validation_button'],221.47509409999475,221.47509409999475,226.4748728000559,226.4748728000559,226.4748728000559,226.9750881001819,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes ,INFOS,La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes ,0,7,7,31,,,,,,,,,,,226.9750881001819,226.9750881001819,226.9750881001819,0.004846200114116073,La raie manta peut atteindre 9 metres de long pour environ 2 tonnes,"[-0.05092592592592592, -0.03796296296296296, -0.018518518518518517]","[-0.38425925925925924, -0.40555555555555556, -0.3962962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.260932100005448, 14.910815400071442, 15.344017799943686]",['Validation_button'],242.32474309997633,242.32474309997633,247.32464430015534,247.32464430015534,247.32464430015534,247.82469390006736,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La plus longue composition classique prendrait 639 ans à être interprétée  ,POINTS,La plus longue composition classique prendrait 639 ans à être interprétée  ,0,8,8,25,,,,,,,,,,,247.82469390006736,247.82469390006736,247.82469390006736,0.005290400004014373,La plus longue composition classique prendrait 639 ans a etre interpretée,"[0.032407407407407406, 0.006481481481481481, -0.010185185185185186, -0.013888888888888888, -0.020370370370370372]","[-0.4064814814814815, -0.38796296296296295, -0.3731481481481482, -0.4212962962962963, -0.40555555555555556]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[14.960364799946547, 15.64345690002665, 16.12669329997152, 16.676709600025788, 16.943391100037843]",['Validation_button'],264.7746051000431,264.7746051000431,269.7746578999795,269.7746578999795,269.7746578999795,270.2745906000491,,,,,,,,,,,,,,,,,,,,,,,,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
