anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,Instructions.started,textWelcome.stopped,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,end.keys,end.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,26.324028,28.32137309999962,28.337890199999492,31.321273599999586,space,32.01755499999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
"Seulement 2 pays touchent 3 océans, les Etats-Unis et le Canada",FAITS,"Seulement 2 pays touchent 3 océans, les Etats-Unis et le Canada",0,0,0,4,,,,,,,,,,,63.3994732000001,63.3994732000001,63.3994732000001,0.025995699999839417,"seulement 2 pays touchent 3 oéans, les Etats-Unis et le Canada ",[0.004629629629629629],[-0.4009259259259259],[1],[0],[0],[21.76456169999983],['Validation_button'],85.17049680000036,85.17049680000036,90.17039680000016,90.17039680000016,90.17039680000016,90.67343110000002,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
Les ongles incarnés sont héréditaires ,DONNEES,Les ongles incarnés sont héréditaires ,0,1,1,7,,,,,,,,,,,90.67343110000002,90.67343110000002,90.67343110000002,0.008458900000732683,"Les ongles incarnés sont héréditaires
","[-0.010185185185185186, 0.007407407407407408]","[-0.38796296296296295, -0.40185185185185185]","[1, 1]","[0, 0]","[0, 0]","[11.38953010000023, 13.940137600000526]",['Validation_button'],104.62033950000023,104.62033950000023,109.62047890000031,109.62047890000031,109.62047890000031,110.13299420000021,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald  ,NOMS,Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald  ,0,2,2,17,,,,,,,,,,,110.13299420000021,110.13299420000021,110.13299420000021,0.01983690000088245,Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald,[0.01574074074074074],[-0.4009259259259259],[1],[0],[0],[18.578880000000026],['Validation_button'],128.72063929999968,128.72063929999968,133.7203655000003,133.7203655000003,133.7203655000003,134.2333595,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
Le Groenland est l’île la plus grande du monde par sa superficie  ,FAITS,Le Groenland est l’île la plus grande du monde par sa superficie  ,0,3,3,0,,,,,,,,,,,134.2333595,134.2333595,134.2333595,0.019591199999922537,Le Groenland est l'ile la plus grande du monde par sa superficie,"[0.03611111111111111, 0.05, -0.022222222222222223]","[-0.07037037037037037, -0.07407407407407407, -0.3972222222222222]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.278620799999771, 15.162098400000104, 19.779429500000333]",['Validation_button'],154.02066689999992,154.02066689999992,159.02054700000008,159.02054700000008,159.02054700000008,159.5246890999997,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
Le cœur d’une crevette est dans sa tête  ,POINTS,Le cœur d’une crevette est dans sa tête  ,0,4,4,28,,,,,,,,,,,159.5246890999997,159.5246890999997,159.5246890999997,0.011102000000391854,Le coeur d'une crevette est dans sa tete,[0.002777777777777778],[-0.39351851851851855],[1],[0],[0],[13.053941500000292],['Validation_button'],172.5874490999995,172.5874490999995,177.58730959999957,177.58730959999957,177.58730959999957,178.08726449999995,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
La carte de visite d’Al Capone indiquait qu’il était vendeur de meuble d’occasion ,INFOS,La carte de visite d’Al Capone indiquait qu’il était vendeur de meuble d’occasion ,0,5,5,13,,,,,,,,,,,178.08726449999995,178.08726449999995,178.08726449999995,0.007799299999533105,La carte de visite d'Al Capone indiquait qu'il était vendeur de meuble d'occasion,[0.010185185185185186],[-0.4027777777777778],[1],[0],[0],[21.49022319999949],['Validation_button'],199.58745230000022,199.58745230000022,204.58710789999986,204.58710789999986,204.58710789999986,205.09499400000004,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",NOMS,"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",0,6,6,30,,,,,,,,,,,205.09499400000004,205.09499400000004,205.09499400000004,0.01573370000005525,"Tout comme l'empreinte digitale, le coeur propre à chaque individu et on peut l'identifier grace à sa signature",[-0.004629629629629629],[-0.3907407407407407],[1],[0],[0],[23.68330959999912],['Validation_button'],228.78749200000038,228.78749200000038,233.7873658999997,233.7873658999997,233.7873658999997,234.29254469999978,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
Il y a eu 25 présidents Français ,DONNEES,Il y a eu 25 présidents Français ,0,7,7,6,,,,,,,,,,,234.29254469999978,234.29254469999978,234.29254469999978,0.012077399999725458,Il y a eu 25 présidents français,"[0.006481481481481481, 0.005555555555555556]","[-0.412962962962963, -0.4]","[1, 1]","[0, 0]","[0, 0]","[8.502321399999346, 10.069503699999586]",['Validation_button'],244.37085560000014,244.37085560000014,249.37064290000035,249.37064290000035,249.37064290000035,249.8806396,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,INFOS,Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,0,8,8,11,,,,,,,,,,,249.8806396,249.8806396,249.8806396,0.01706610000019282,Les élastiques sont plus longs quand ils sont très froids/réfrigérés,"[0.019444444444444445, 0.011111111111111112]","[-0.37962962962962965, -0.3972222222222222]","[1, 1]","[0, 0]","[0, 0]","[17.814864599999964, 18.99825039999996]",['Validation_button'],268.88757179999993,268.88757179999993,273.8873469,273.8873469,273.8873469,274.3875852000001,,,,,,,,,,,,,,,,,,,,,,,,,,,ED3,001,2023-03-17_11h41.47.922,Expérimentation1_SOLO,2022.2.5,60.0084491895809,
