anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,Instructions.started,textWelcome.stopped,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,end.keys,end.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,21.9714154000103,23.954890900000464,23.971568300010404,26.955329899996286,space,20.091011699987575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005 ,DONNEES,Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005 ,0,0,0,5,,,,,,,,,,,47.12094170000637,47.12094170000637,47.12094170000637,0.045382200012682006, Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005,"[-0.03148148148148148, -0.008333333333333333]","[-0.39444444444444443, -0.3990740740740741]","[1, 1]","[0, 0]","[0, 0]","[36.22027209997759, 37.570198299974436]",['Validation_button'],84.68761550000636,84.68761550000636,89.68810389999999,89.68810389999999,89.68810389999999,90.20417219999945,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,FAITS,Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,0,1,1,2,,,,,,,,,,,90.20417219999945,90.20417219999945,90.20417219999945,0.0154264000011608,Une vache produit environ 200000 bouteilles de lait dans sa vie,[0.006481481481481481],[-0.39537037037037037],[1],[0],[0],[26.48167460001423],['Validation_button'],116.68742810000549,116.68742810000549,121.68770099998801,121.68770099998801,121.68770099998801,122.20478980001644,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005 ,NOMS,Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005 ,0,2,2,16,,,,,,,,,,,122.20478980001644,122.20478980001644,122.20478980001644,0.023178799980087206,Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005,[0.016666666666666666],[-0.39351851851851855],[1],[0],[0],[40.11080640001455],['Validation_button'],162.32305529998848,162.32305529998848,167.32277339999564,167.32277339999564,167.32277339999564,167.83673300000373,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
Il y a eu 25 présidents Français ,DONNEES,Il y a eu 25 présidents Français ,0,3,3,6,,,,,,,,,,,167.83673300000373,167.83673300000373,167.83673300000373,0.012718899990431964,il y a eu 25 président Francais ,[-0.019444444444444445],[-0.39444444444444443],[1],[0],[0],[19.899260500009404],['Validation_button'],187.73656759998994,187.73656759998994,192.73689659999218,192.73689659999218,192.73689659999218,193.25325539999176,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
"Seulement 2 pays touchent 3 océans, les Etats-Unis et le Canada",FAITS,"Seulement 2 pays touchent 3 océans, les Etats-Unis et le Canada",0,4,4,4,,,,,,,,,,,193.25325539999176,193.25325539999176,193.25325539999176,0.014800900011323392,"seulement 2 pays touchent 3 océans, les etats unis et le Canada ",[-0.023148148148148147],[-0.40370370370370373],[1],[0],[0],[28.966575800004648],['Validation_button'],222.2195095999923,222.2195095999923,227.21983340001316,227.21983340001316,227.21983340001316,227.7360830999969,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
L’océan Atlantique est plus salé que l’océan Pacifique,NOMS,L’océan Atlantique est plus salé que l’océan Pacifique,0,5,5,14,,,,,,,,,,,227.7360830999969,227.7360830999969,227.7360830999969,0.016080500005045906,l'ocean atlantique est plus salé que l'océan pacifique,[-0.022222222222222223],[-0.4027777777777778],[1],[0],[0],[21.197964700026205],['Validation_button'],248.93585619999794,248.93585619999794,253.93613270000787,253.93613270000787,253.93613270000787,254.45274810001138,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
L’œil d’une autruche est plus gros que son cerveau  ,ITEMS,L’œil d’une autruche est plus gros que son cerveau  ,0,6,6,19,,,,,,,,,,,254.45274810001138,254.45274810001138,254.45274810001138,0.01324410000233911,l'oeil d'une autruche est plus gros que son cerveau,[-0.022222222222222223],[-0.4027777777777778],[1],[0],[0],[17.668117499997607],['Validation_button'],272.119526399998,272.119526399998,277.11966749999556,277.11966749999556,277.11966749999556,277.6357483000029,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,NOMS,La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,0,7,7,15,,,,,,,,,,,277.6357483000029,277.6357483000029,277.6357483000029,0.018569600011687726,la république dominicaine est le seul pays qui possède un drapeau contenant une bible ,[-0.022222222222222223],[-0.4027777777777778],[1],[0],[0],[28.032298200007062],['Validation_button'],305.67184460000135,305.67184460000135,310.6710951999994,310.6710951999994,310.6710951999994,311.18546110001625,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,ITEMS,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,0,8,8,23,,,,,,,,,,,311.18546110001625,311.18546110001625,311.18546110001625,0.01491369999712333,"La corée du nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006
",[0.006481481481481481],[-0.39444444444444443],[1],[0],[0],[31.045945899997605],['Validation_button'],342.2352263999928,342.2352263999928,347.23539089999394,347.23539089999394,347.23539089999394,347.75172219998785,,,,,,,,,,,,,,,,,,,,,,,,,,,EG7,002,2023-03-20_10h54.23.616,Expérimentation1_SOLO,2022.2.5,59.98936988302612,
