anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,textWelcome.stopped,Instructions.started,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,end.keys,end.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,55.01931920001516,57.021807100012666,57.021807100012666,60.021345300017856,space,18.949906399997417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
L’océan Atlantique est plus salé que l’océan Pacifique,NOMS,L’océan Atlantique est plus salé que l’océan Pacifique,0,0,0,14,,,,,,,,,,,79.002232800005,79.002232800005,79.002232800005,0.01359370001591742, L'océan Atlantique est plus salé que l'océan Pacifique,[-0.004629629629629629],[-0.4],[1],[0],[0],[21.98273690001224],['Validation_button'],100.98420490001445,100.98420490001445,105.98403069999767,105.98403069999767,105.98403069999767,106.48395090000122,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
Les frites sont originaires de France et non de Belgique,INFOS,Les frites sont originaires de France et non de Belgique,0,1,1,12,,,,,,,,,,,106.48395090000122,106.48395090000122,106.48395090000122,0.0024554999836254865,Les frites sont originaires de Franec et non de Belgique,[-0.004629629629629629],[-0.4],[1],[0],[0],[17.829022199992323],['Validation_button'],124.31717730002129,124.31717730002129,129.31707050002296,129.31707050002296,129.31707050002296,129.81718130002264,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
La plus longue composition classique prendrait 639 ans à être interprétée. ,POINTS,La plus longue composition classique prendrait 639 ans à être interprétée. ,0,2,2,25,,,,,,,,,,,129.81718130002264,129.81718130002264,129.81718130002264,0.0062766000046394765,La plus longue composition classique prendrait 639 ans à etre interprétée,[0.000925925925925926],[-0.39537037037037037],[1],[0],[0],[32.67565160000231],['Validation_button'],162.4998895000026,162.4998895000026,167.50003900000593,167.50003900000593,167.50003900000593,167.99985970000853,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours.,ITEMS,La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours.,0,3,3,22,,,,,,,,,,,167.99985970000853,167.99985970000853,167.99985970000853,0.0076698000193573534,La pyramide de Gizé est la seule des 7 merveilles de l'ancien monde qui existe toujours,[0.005555555555555556],[-0.40185185185185185],[1],[0],[0],[24.74169559997972],['Validation_button'],192.74967079999624,192.74967079999624,197.74958870001137,197.74958870001137,197.74958870001137,198.26623360000667,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
Une personne perdra environ 18 kilos de peau durant toute sa vie. ,POINTS,Une personne perdra environ 18 kilos de peau durant toute sa vie. ,0,4,4,26,,,,,,,,,,,198.26623360000667,198.26623360000667,198.26623360000667,0.012576100009027869,Une personnes perdra environs 18 kilos de peau durant toute sa vie,[0.002777777777777778],[-0.4],[1],[0],[0],[23.102753399987705],['Validation_button'],221.36618850001832,221.36618850001832,226.36585570001625,226.36585570001625,226.36585570001625,226.86624480001046,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006. ,ITEMS,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006. ,0,5,5,23,,,,,,,,,,,226.86624480001046,226.86624480001046,226.86624480001046,0.00512629997683689,La Corée du Nord à annoncé avoir conduit un test nucléaire avec succès en octibre 2006,[-0.000925925925925926],[-0.4027777777777778],[1],[0],[0],[27.960535999998683],['Validation_button'],254.83259960002033,254.83259960002033,259.8322423000063,259.8322423000063,259.8322423000063,260.33223400000134,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
L’Himalaya continue de grandir en raison des collisions des plaques tectoniques.,ITEMS,L’Himalaya continue de grandir en raison des collisions des plaques tectoniques.,0,6,6,21,,,,,,,,,,,260.33223400000134,260.33223400000134,260.33223400000134,0.005439400003524497,L'Himalaya continue de grandir en raison des collisionsdes plaques techtoniques,[-0.014814814814814815],[-0.4064814814814815],[1],[0],[0],[22.959547599981306],['Validation_button'],283.29872420002357,283.29872420002357,288.29852810001466,288.29852810001466,288.29852810001466,288.79868210002314,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
Les ongles incarnés sont héréditaires ,DONNEES,Les ongles incarnés sont héréditaires ,0,7,7,7,,,,,,,,,,,288.79868210002314,288.79868210002314,288.79868210002314,0.002882800006773323,Les ongles incarnés sont héréditaires,[-0.002777777777777778],[-0.40185185185185185],[1],[0],[0],[12.096348899998702],['Validation_button'],300.89843380000093,300.89843380000093,305.89833910000743,305.89833910000743,305.89833910000743,306.39846009999746,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
Le cœur d’une crevette est dans sa tête. ,POINTS,Le cœur d’une crevette est dans sa tête. ,0,8,8,28,,,,,,,,,,,306.39846009999746,306.39846009999746,306.39846009999746,0.0034189000143669546,Le coeur d'une crevette est dans sa tete,[0.012037037037037037],[-0.39537037037037037],[1],[0],[0],[11.345222100004321],['Validation_button'],317.74811790001695,317.74811790001695,322.74839660001453,322.74839660001453,322.74839660001453,323.2481754000182,,,,,,,,,,,,,,,,,,,,,,,,,,,LD8,002,2023-03-20_10h54.29.543,Expérimentation1_SOLO,2022.2.5,60.02217219852762,
