anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,Instructions.started,textWelcome.stopped,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,end.keys,end.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,18.071805499959737,20.055865899892524,20.072772399988025,23.055663299979642,space,6.0093710999935865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
Les ongles incarnés sont héréditaires ,DONNEES,Les ongles incarnés sont héréditaires ,0,0,0,7,,,,,,,,,,,29.121765999821946,29.121765999821946,29.121765999821946,0.030359000200405717, LES ONGLES ICARNES sont hereditaires,"[-0.014814814814814815, 0.004629629629629629]","[0.1361111111111111, -0.39537037037037037]","[1, 1]","[0, 0]","[0, 0]","[21.353864199947566, 23.002448600018397]",['Validation_button'],52.1218126998283,52.1218126998283,57.122026999946684,57.122026999946684,57.122026999946684,57.63843139982782,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
L’Himalaya continue de grandir en raison des collisions des plaques tectoniques.,ITEMS,L’Himalaya continue de grandir en raison des collisions des plaques tectoniques.,0,1,1,21,,,,,,,,,,,57.63843139982782,57.63843139982782,57.63843139982782,0.0183228999376297,l' himalaya continue  de grandir en raison des collisions des plaques tectoniques,[-0.002777777777777778],[-0.39444444444444443],[1],[0],[0],[49.67821209994145],['Validation_button'],107.3211933998391,107.3211933998391,112.32149220001884,112.32149220001884,112.32149220001884,112.82115759979934,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
Les oiseaux bleus ne peuvent pas voir la couleur bleue. ,FAITS,Les oiseaux bleus ne peuvent pas voir la couleur bleue. ,0,2,2,3,,,,,,,,,,,112.82115759979934,112.82115759979934,112.82115759979934,0.006706899963319302,les oiseaux bleus ne peuvent pas voir la couleur bleue,[-0.024074074074074074],[-0.4],[1],[0],[0],[37.65762629988603],['Validation_button'],150.48752339999191,150.48752339999191,155.48780009988695,155.48780009988695,155.48780009988695,156.00376949994825,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
La république dominicaine est le seul pays qui possède un drapeau contenant une bible.,NOMS,La république dominicaine est le seul pays qui possède un drapeau contenant une bible.,0,3,3,15,,,,,,,,,,,156.00376949994825,156.00376949994825,156.00376949994825,0.018830500077456236,la republique dominicaine est le seul pays qui possede un drapeau contenant une bible,[-0.006481481481481481],[-0.40185185185185185],[1],[0],[0],[64.22920670011081],['Validation_button'],220.2365386998281,220.2365386998281,225.23696829983965,225.23696829983965,225.23696829983965,225.75302339997143,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
La cacahuète est l’un des ingrédients de la dynamite. ,POINTS,La cacahuète est l’un des ingrédients de la dynamite. ,0,4,4,27,,,,,,,,,,,225.75302339997143,225.75302339997143,225.75302339997143,0.01588559988886118,la cacahuette est une des ingredients de la dynamite,[0.0],[-0.3925925925925926],[1],[0],[0],[29.948589500039816],['Validation_button'],255.70318089984357,255.70318089984357,260.7030331999995,260.7030331999995,260.7030331999995,261.2192100000102,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
La plus longue composition classique prendrait 639 ans à être interprétée. ,POINTS,La plus longue composition classique prendrait 639 ans à être interprétée. ,0,5,5,25,,,,,,,,,,,261.2192100000102,261.2192100000102,261.2192100000102,0.010521899908781052,la plus longue composition classique prendrait 639 ans a etre interpretee,[0.017592592592592594],[-0.4064814814814815],[1],[0],[0],[52.65281550004147],['Validation_button'],313.8688119999133,313.8688119999133,318.8694511000067,318.8694511000067,318.8694511000067,319.38569369981997,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006. ,ITEMS,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006. ,0,6,6,23,,,,,,,,,,,319.38569369981997,319.38569369981997,319.38569369981997,0.023055800003930926,la coree a annonce avoir conduit un test nucleaire avec succes en octobre 2006,[-0.012037037037037037],[-0.3907407407407407],[1],[0],[0],[49.578932400094345],['Validation_button'],368.97095059999265,368.97095059999265,,,373.985317699844,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
Les frites sont originaires de France et non de Belgique,INFOS,Les frites sont originaires de France et non de Belgique,0,7,7,12,,,,,,,,,,,374.48495669988915,374.48495669988915,374.48495669988915,0.01906550000421703,les frites sont originaires de france et non de belgique,[0.001851851851851852],[-0.4009259259259259],[1],[0],[0],[35.25874389987439],['Validation_button'],409.75140389986336,409.75140389986336,414.75176559994,414.75176559994,414.75176559994,415.2684963999782,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
Le Groenland est l’île la plus grande du monde par sa superficie. ,FAITS,Le Groenland est l’île la plus grande du monde par sa superficie. ,0,8,8,0,,,,,,,,,,,415.2684963999782,415.2684963999782,415.2684963999782,0.02286570006981492,le groenland est l'Ile la plus grande par sa superfice,[0.022222222222222223],[-0.3990740740740741],[1],[0],[0],[47.07493490003981],['Validation_button'],462.35064879991114,462.35064879991114,467.35113570000976,467.35113570000976,467.35113570000976,467.8673578999005,,,,,,,,,,,,,,,,,,,,,,,,,,,MG2,001,2023-03-17_11h05.34.426,Expérimentation1_SOLO,2022.2.5,59.97681302492252,
