anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,textWelcome.stopped,Instructions.started,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,end.keys,end.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,94.13876179998624,96.14874789997702,96.14874789997702,99.13220969997928,space,9.852223499998217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
Le tsunami dévastateur en Asie s’est produit en décembre 2004 ,FAITS,Le tsunami dévastateur en Asie s’est produit en décembre 2004 ,0,0,0,1,,,,,,,,,,,109.06221909998567,109.06221909998567,109.06221909998567,0.04214920001686551, Le tsunami dévastateur en Asie s'est produit en décembre 2004,[-0.001851851851851852],[-0.39814814814814814],[1],[0],[0],[25.93939380001393],['Validation_button'],134.9979514000006,134.9979514000006,139.99810099997558,139.99810099997558,139.99810099997558,140.50652799999807,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,NOMS,La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,0,1,1,15,,,,,,,,,,,140.50652799999807,140.50652799999807,140.50652799999807,0.01582960001542233,La république dominicaine est le seul pays qui possède un drapeau contenant une bible,[-0.001851851851851852],[-0.4009259259259259],[1],[0],[0],[35.167568299977574],['Validation_button'],175.6813668999821,175.6813668999821,180.68146019999404,180.68146019999404,180.68146019999404,181.18136749998666,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
Les frites sont originaires de France et non de Belgique,INFOS,Les frites sont originaires de France et non de Belgique,0,2,2,12,,,,,,,,,,,181.18136749998666,181.18136749998666,181.18136749998666,0.006597900006454438,les frites sont originaires de France et non de Belgique,[-0.001851851851851852],[-0.4046296296296296],[1],[0],[0],[21.041002599988133],['Validation_button'],202.23136789997807,202.23136789997807,207.23121249998803,207.23121249998803,207.23121249998803,207.74497299999348,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",NOMS,"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",0,3,3,30,,,,,,,,,,,207.74497299999348,207.74497299999348,207.74497299999348,0.02113189999363385,"Tout comme l'empreinte digitale, le coeur est propres à chaque individu et on peut l'identifier grace à sa signature cardiaque",[-0.012962962962962963],[-0.3972222222222222],[1],[0],[0],[39.11079390000668],['Validation_button'],246.86469979997491,246.86469979997491,251.8646649000002,251.8646649000002,251.8646649000002,252.3646858999855,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
L’œil d’une autruche est plus gros que son cerveau  ,ITEMS,L’œil d’une autruche est plus gros que son cerveau  ,0,4,4,19,,,,,,,,,,,252.3646858999855,252.3646858999855,252.3646858999855,0.007726000010734424,l'oeil d'une autruche est plus gros que son cerveau,[0.008333333333333333],[-0.40185185185185185],[1],[0],[0],[17.491414899996016],['Validation_button'],269.8649522999767,269.8649522999767,274.864768200001,274.864768200001,274.864768200001,275.36485630000243,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
La carte de visite d’Al Capone indiquait qu’il était vendeur de meuble d’occasion ,INFOS,La carte de visite d’Al Capone indiquait qu’il était vendeur de meuble d’occasion ,0,5,5,13,,,,,,,,,,,275.36485630000243,275.36485630000243,275.36485630000243,0.008439900004304945,La carte de visite d'Al Capone indiquait qu'il était vendeur de meuble d'occasion,[-0.011111111111111112],[-0.39444444444444443],[1],[0],[0],[30.423494100017706],['Validation_button'],305.7981840999855,305.7981840999855,310.7981460999872,310.7981460999872,310.7981460999872,311.29848879997735,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
Le cœur d’une crevette est dans sa tête  ,POINTS,Le cœur d’une crevette est dans sa tête  ,0,6,6,28,,,,,,,,,,,311.29848879997735,311.29848879997735,311.29848879997735,0.006027299998095259,Le coeur d'une crevette est dans sa tete,[0.014814814814814815],[-0.4083333333333333],[1],[0],[0],[11.491666599991731],['Validation_button'],322.79829350000364,322.79829350000364,327.79834809998283,327.79834809998283,327.79834809998283,328.2986066000012,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,FAITS,Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,0,7,7,2,,,,,,,,,,,328.2986066000012,328.2986066000012,328.2986066000012,0.008638400002382696,une vache produit environ 200000 bouteilles de lait dans sa vie,[-0.017592592592592594],[-0.39814814814814814],[1],[0],[0],[18.87331739999354],['Validation_button'],347.181798399979,347.181798399979,352.181769399991,352.181769399991,352.181769399991,352.6938040999812,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours ,ITEMS,La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours ,0,8,8,22,,,,,,,,,,,352.6938040999812,352.6938040999812,352.6938040999812,0.020504400017671287,La pyramide de Gizé est la seule des 7 merveilles de l'ancien monde qui existe toujours,[-0.022222222222222223],[-0.39537037037037037],[1],[0],[0],[25.37851199999568],['Validation_button'],378.0818456999841,378.0818456999841,383.0817654999846,383.0817654999846,383.0817654999846,383.58943100000033,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
Il y a eu 25 présidents Français ,DONNEES,Il y a eu 25 présidents Français ,0,9,9,6,,,,,,,,,,,383.58943100000033,383.58943100000033,383.58943100000033,0.014171300019370392,il y a eu 25 présidents français,[0.016666666666666666],[-0.3925925925925926],[1],[0],[0],[15.91822350001894],['Validation_button'],399.51514000000316,399.51514000000316,404.5150190999848,404.5150190999848,404.5150190999848,405.01963619998423,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
Les oiseaux bleus ne peuvent pas voir la couleur bleue  ,FAITS,Les oiseaux bleus ne peuvent pas voir la couleur bleue  ,0,10,10,3,,,,,,,,,,,405.01963619998423,405.01963619998423,405.01963619998423,0.011161600006744266,les oiseaux bleux ne peuvent pas voir la couleur bleue,[0.011111111111111112],[-0.39814814814814814],[1],[0],[0],[18.48856880000676],['Validation_button'],423.51504889997886,423.51504889997886,428.51512809999986,428.51512809999986,428.51512809999986,429.0232050999766,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,ITEMS,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,0,11,11,23,,,,,,,,,,,429.0232050999766,429.0232050999766,429.0232050999766,0.013168299978133291,la corée du nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006,[-0.000925925925925926],[-0.4027777777777778],[1],[0],[0],[31.33429269999033],['Validation_button'],460.3669729999965,460.3669729999965,,,465.3821312999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC6,002,2023-03-20_10h54.35.646,Expérimentation1_SOLO,2022.2.5,60.10894145280477,
